symbol,name,category,type,value_accrual,coingecko_id,price_usd,market_cap,fdv,circ_supply,total_supply,max_supply,volume_24h,price_change_24h_pct,slug,fees_24h,fees_7d,fees_30d,fees_all_time,revenue_24h,revenue_7d,revenue_30d,revenue_all_time,tvl_current,fdv_mc_ratio,annualized_fees,annualized_revenue,mcap_over_fees,mcap_over_revenue,fdv_over_revenue,uncapped,coindesk_covered,gross_inflation_annualized,burn_rate_annualized,net_inflation_annualized,locked_supply_pct,staked_supply_pct,locked_plus_staked_pct,inflation_source,needs_custom,custom_handler_applied,link_reserve_weekly_link,link_reserve_annualized_link,ldo_buyback_started,supply_velocity_annualized,buyback_burn_usd_annualized,token_incentive_expense_usd,incentive_over_revenue,incentive_over_fees,economic_earnings_usd,economic_pe,ee_inherits_flags,incentive_yield_annualized,incentive_yield_mechanism,net_dilution_annualized,rewards_adjusted_dilution
LINK,Chainlink,,protocol,staking,chainlink,9.22,6698512389,9212642912.0,727099970.4523476,1000000000.0,1000000000.0,357560931,-0.69121,chainlink,14776,1199207,4927496,47676420,0,1144047,4682209,41866036,0.0,1.3753266959882904,59129952,56186508,113.284590337567,119.2192330051905,163.9653938272868,False,False,,,0.13937278283182775,,,,coingecko_implied,,link_supply_dynamics,130000.0,6760000.0,,19.467844821181043,62327200.00000001,,,,,,,0.0435,Staking v0.2 — community + priority migration pool,,
ETH,Ethereum,Chain,chain,burn,ethereum,2310.27,278405897681,,120690332.1840998,120690332.1840998,,18958566966,-1.09266,ethereum,1438796,5163211,12134283,20509907032,487436,1645594,3171539,13090498604,106126570423.18095,,145611396,38058468,1911.978769031237,7315.215569922573,,True,False,,,-0.00044702585822124286,,,,coingecko_implied,gross_inflation_annualized,eth_supply_dynamics,,,,24.817792557565774,,,,,,,gross_inflation_annualized,0.027,Validator consensus + execution layer rewards,,
SOL,Solana,Chain,chain,burn,solana,85.32,49012401221,,575502962.473244,624782486.6193739,,3920893121,-1.25763,solana,403907,3637651,15751540,1515905953,53025,397878,1701311,580494338,12548825006.645569,,189018480,20415732,259.2995204542963,2400.717310601452,,True,False,,,0.1135608751418855,,,,coingecko_implied,burn_rate_annualized; net_inflation_annualized,sol_supply_dynamics,,,,29.146033398169443,,,,,,,burn_rate_annualized; net_inflation_annualized,0.065,Delegated staking,,
AAVE,Aave,,protocol,buyback,aave,88.79,1347296355,1420608059.0,15174306.205044989,16000000.0,16000000.0,586894903,-3.96257,aave,5204314,15242063,49907245,2095736060,675655,2020394,6644258,284340859,17196683915.0,1.054413940725016,598886940,79731096,2.2496672827762785,16.898003697327827,17.817490668885323,False,False,,,0.005036948297386642,,,,coingecko_implied,aave_buyback_spend_usd,aave_supply_dynamics,,,,158.9938415614225,,,,,,,aave_buyback_spend_usd,,,,
UNI,Uniswap,,protocol,burn,uniswap,3.24,2046764582,2896671817.0,633561603.6037512,896644420.0366304,1000000000.0,185899024,-2.32816,uniswap,2808146,15685919,39510762,5522409836,256258,1016024,3524685,9172647,3314702526.0,1.415244255482236,474129144,42296220,4.316892576424284,48.39119387027966,68.48535914084049,False,False,,,0.053883843578242226,,,,coingecko_implied,uni_firepit_burn,uni_supply_dynamics,,,,33.05492031377209,,,,,,,uni_firepit_burn,,,,
LDO,Lido,Liquid Staking,protocol,none,lido-dao,0.359312,304964158,359123520.0,849190157.5567812,1000000000.0,1000000000.0,35316521,-5.70823,lido,1775549,11367632,44620410,3139627536,177555,1136763,4462043,313962740,21797374474.0,1.1775925484331835,535444920,53544516,0.5695528085316414,5.695525532437346,6.707008426409159,False,False,,,-0.0533261302787421,,,,coingecko_implied,,ldo_supply_dynamics,,,True,42.246827941229455,,,,,,,,,,,
CRV,Curve,Dexs,protocol,fee_share,curve-dao-token,0.227662,342019828,539509978.0,1504257001.0,2372849744.271018,3030303031.0,53561763,-1.27791,curve-dex,254435,1387611,3692475,373708488,70181,176535,495757,154864348,1764235034.0,1.5774231019144305,44309700,5949084,7.718847746655924,57.49117477581422,90.68790724756954,False,False,0.0502,,0.0502,,,,manual_post_reduction,,crv_supply_dynamics,,,,57.08672644479635,,17191600.299555436,2.889789470035292,0.3879872871979597,-11242516.299555436,,,0.0871,veCRV admin fee share (3CRV),0.0502,-0.036899999999999995
OP,Optimism,Chain,chain,none,optimism,0.123626,262597966,529504391.0,2130010053.0,4294967296.0,4294967296.0,53712023,-1.21292,op-mainnet,1722,15200,47915,91506055,1678,14962,47163,31842548,571862156.5291302,2.0164070539678134,574980,565956,456.70800027827056,463.9900734332704,935.5928570418902,False,False,,,,,,,coindesk_pre_minted,effective_dilution_from_unlocks,op_supply_dynamics,,,,74.4514059704307,,,,,,,effective_dilution_from_unlocks,,,,
