symbol,name,category,type,value_accrual,coingecko_id,price_usd,market_cap,fdv,circ_supply,total_supply,max_supply,volume_24h,price_change_24h_pct,slug,fees_24h,fees_7d,fees_30d,fees_all_time,revenue_24h,revenue_7d,revenue_30d,revenue_all_time,tvl_current,fdv_mc_ratio,annualized_fees,annualized_revenue,mcap_over_fees,mcap_over_revenue,fdv_over_revenue,uncapped,coindesk_covered,gross_inflation_annualized,burn_rate_annualized,net_inflation_annualized,locked_supply_pct,staked_supply_pct,locked_plus_staked_pct,inflation_source,needs_custom,custom_handler_applied,link_reserve_weekly_link,link_reserve_annualized_link,aave_buyback_spend_usd_365d,aave_buyback_spend_usd_30d,aave_tokens_bought_365d,uni_firepit_burn_annual_tokens,uni_firepit_burn_usd,uni_firepit_days_of_data,ldo_buyback_started,supply_velocity_annualized,buyback_burn_usd_annualized,token_incentive_expense_usd,incentive_over_revenue,incentive_over_fees,economic_earnings_usd,economic_pe,ee_inherits_flags,incentive_yield_annualized,incentive_yield_mechanism,net_dilution_annualized,rewards_adjusted_dilution,dormant_supply_pct_180d,dormancy_source
LINK,Chainlink,,protocol,staking,chainlink,9.25,6793296700,9343002305.0,727099970.4523476,1000000000.0,1000000000.0,331687893,1.29157,chainlink,8173,1216419,4898294,47634016,0,1179777,4627031,40721989,0.0,1.3753266959471977,58779528,55524372,115.57249489992502,122.34801503022852,168.26849126722226,False,True,0.0,0.0,0.0,0.3753266959670948,,0.3753266959670948,coindesk,,link_supply_dynamics,130000.0,6760000.0,,,,,,,,18.00058519997533,62530000.0,,,,,,,0.0435,Staking v0.2 — community + priority migration pool,0.0750746894698499,0.0315746894698499,,
ETH,Ethereum,Chain,chain,burn,ethereum,2315.65,281638693354,,120690931.6994952,120690931.6994952,,18161802695,-0.24985,ethereum,328402,2027267,9264552,20504727517,51213,423938,1975730,13088637402,117334849341.38852,,111174624,23708760,2533.300165278724,11879.098415691078,,True,True,0.0084645857180518,9.101736018440514e-05,0.0083735683578674,0.0,0.3126809723916371,0.3126809723916371,beacon_chain_formula,,eth_supply_dynamics,,,,,,,,,,23.7194306083794,25634010.39486625,2365665114.782731,99.78021266328273,21.27882271751808,-2341956354.782731,,,0.027,Validator consensus + execution layer rewards,0.0083735683578674,-0.0186264316421325,,
SOL,Solana,Chain,chain,burn,solana,85.02,49049562484,,575261198.3166089,624519058.027364,,3616561346,1.92102,solana,505832,3414126,15922357,1513834913,55409,385416,1726597,580264261,12962034129.659653,,191068284,20719164,256.71221542974655,2367.352393368767,,True,True,0.0500298841202318,0.0004662092218168,0.0495636748984149,0.0856247595845385,,0.0856247595845385,coindesk,,sol_supply_dynamics,,,,,,,,,,26.98997724693687,22867358.356121276,2446896947.7266912,118.0982470010224,12.806400395194272,-2426177783.7266912,,,0.065,Delegated staking,0.0495636748984149,-0.015436325101585,,
AAVE,Aave,,protocol,buyback,aave,106.05,1630589418,1720365868.0,15165047.844441105,16000000.0,16000000.0,407178618,2.91081,aave,1603885,10879484,45358423,2081741728,217145,1454505,6058729,282512838,25963658164.0,1.0550576674967729,544301076,72704748,2.995749025489709,22.427550646348433,23.662359272602114,False,True,0.0,0.0,0.0,0.0399014157811779,0.1948845587596184,0.2347859745407963,coindesk,,aave_supply_dynamics,,,452735083.5099792,3582679.617297543,2134984.48480957,,,,,92.41093636251412,42992155.40757052,,,,,,,,,-0.0263660213496924,-0.0263660213496924,,
UNI,Uniswap,,protocol,none,uniswap,3.3,2116588414,2996237928.0,633561603.6037512,896868420.0366304,1000000000.0,181246894,3.68166,uniswap,2469779,9487611,34779573,5513358635,106331,716390,3451193,8527889,3298730626.0,1.415597812111996,417354876,41414316,5.071435691097569,51.1076511320385,72.34787912469687,False,True,0.0,0.0144251649789057,-0.0144251649789057,0.3739917805445067,,0.3739917805445067,coindesk,,uni_supply_dynamics,,,,,,10498727.272727272,39961632.34848485,110.0,,31.64176116165375,39961632.34848485,,,,,,,,,0.0131257986958025,0.0131257986958025,,
LDO,Lido,Liquid Staking,protocol,none,lido-dao,0.399203,342635216,403484676.0,849190157.5567812,1000000000.0,1000000000.0,73245170,8.42691,lido,1576363,10703691,43955990,3132967277,157636,1070369,4395602,313296714,22004375170.0,1.1775925449531142,527471880,52747224,0.6495800610261916,6.495796176875583,7.6494011514236275,False,True,0.0,0.0,0.0,0.1775925463822101,,0.1775925463822101,coindesk,,ldo_supply_dynamics,,,,,,,,,True,78.86296616366039,,,,,,,,,,0.0,0.0,,
CRV,Curve,Dexs,protocol,fee_share,curve-dao-token,0.226719,343122457,542855884.0,1499007926.0,2371588500.032618,3030303031.0,54757403,1.96874,curve-dex,43572,739687,3246861,372515829,14463,102396,443860,154688228,1837884897.0,1.5821053764487354,38962332,5326320,8.806517458965239,64.4201732152781,101.91950239565028,False,True,0.0925118236284657,0.0,0.0925118236284657,0.5818292973360102,,0.5818292973360102,coindesk,,crv_supply_dynamics_noop,,,,,,,,,,58.80900890936726,,31440474.26510719,5.90285117400141,0.8069453919007514,-26114154.26510719,,,0.0871,veCRV admin fee share (3CRV),0.0925118236284657,0.0054118236284657,,
OP,Optimism,Chain,chain,none,optimism,0.127016,272264339,547337936.0,2136461507.0,4294967296.0,4294967296.0,80432202,9.65551,op-mainnet,1809,13915,43092,91496212,1783,13736,42403,31832860,612459696.6246941,2.0103181268994614,517104,508836,526.5175651319657,535.0728702371688,1075.6666902499037,False,True,-1.0536368840593939e-09,0.0,-1.0536368840593939e-09,1.0164051744495453,0.0,1.0164051744495453,coindesk,effective_dilution_from_unlocks,op_supply_dynamics,,,,,,,,,,108.18556531824994,,,,,,,effective_dilution_from_unlocks,,,0.1784742351238314,0.1784742351238314,,
